slug,name,borough,neighborhood,address,cuisines,price_tiers,meal_periods,weeks,sunday_participation,menu_url,reservation_link,listing_url,website,menu_parse_quality
100-feast,100 Feast,Manhattan,Chinatown,"100 E. Broadway, 2nd fl. & 3rd fl., Manhattan, NY, 10002","[""Chinese"", ""Japanese / Sushi""]","[""$30"", ""$45""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/51359-100Feast-menu.pdf,https://www.opentable.com/restref/client/?rid=1521256,https://www.nyctourism.com/restaurant-week/100-feast/,https://www.100feast.com/en,failed
1803-nyc,1803 NYC,Manhattan,Tribeca,"82 Reade St., Manhattan, NY, 10007","[""Cajun/Creole""]","[""$30"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/50501-1803NYC-menu.pdf,,https://www.nyctourism.com/restaurant-week/1803-nyc/,https://1803nyc.com,partial
five-napkin-burger-hells-kitchen,5 Napkin Burger - Hell's Kitchen,Manhattan,Hells Kitchen,"630 Ninth Ave., Manhattan, NY, 10036","[""Burgers"", ""American (Traditional)""]","[""$30""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/41741-5NapkinBurger-Hell%27sKitchen-menu.pdf,https://www.opentable.com/restref/client/?rid=22765,https://www.nyctourism.com/restaurant-week/five-napkin-burger-hells-kitchen/,https://www.5napkinburger.com/location/hell-s-kitchen-5napkinburger,partial
53,53,Manhattan,Midtown West,"53 W. 53rd St., Manhattan, NY, 10019","[""Pan-Asian""]","[""$45""]","[""brunch"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",1,,,https://www.nyctourism.com/restaurant-week/53/,https://53-nyc.com,
8282,8282,Manhattan,Lower East Side,"84 Stanton St., Manhattan, NY, 10002","[""Korean""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,,https://www.nyctourism.com/restaurant-week/8282/,https://www.eightwoeightwo.com,
a-la-turka,A La Turka,Manhattan,Upper East Side,"1417 Second Ave., Manhattan, NY, 10021","[""Turkish"", ""Mediterranean""]","[""$30"", ""$45""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/46105-ALaTurka-menu.pdf,https://www.opentable.com/restref/client/?rid=35173,https://www.nyctourism.com/restaurant-week/a-la-turka/,https://www.alaturkany.com,partial
a-pasta-bar,A Pasta Bar,Manhattan,Soho,"330 West Broadway, Manhattan, NY, 10013","[""Italian""]","[""$45"", ""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/50504-PastaBar-menu.pdf,,https://www.nyctourism.com/restaurant-week/a-pasta-bar/,https://apastabar.com,failed
abc-cocina,ABC Cocina,Manhattan,Union Square,"38 E. 19th St., Manhattan, NY, 10003","[""Latin American"", ""Spanish""]","[""$45"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,https://www.opentable.com/restref/client/?rid=1286,https://www.nyctourism.com/restaurant-week/abc-cocina/,https://www.abccocina.nyc,
abc-kitchen,ABC Kitchen,Manhattan,Union Square,"35 E. 18th St., Manhattan, NY, 10003","[""American (New)""]","[""$45"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,https://www.opentable.com/restref/client/?rid=570,https://www.nyctourism.com/restaurant-week/abc-kitchen/,https://www.abckitchen.nyc,
abc-kitchens-dumbo,ABC Kitchens DUMBO,Brooklyn,Dumbo,"55 Water St., Brooklyn, NY, 11201","[""American (New)""]","[""$45"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,https://www.opentable.com/restref/client/?rid=1464439,https://www.nyctourism.com/restaurant-week/abc-kitchens-dumbo/,https://www.abckitchensdumbo.com,
acadia,Acadia,Manhattan,Midtown West,"101 W. 57th St., Manhattan, NY, 10019","[""Mediterranean""]","[""$30"", ""$45""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/48687-Acadia-menu.pdf,https://www.opentable.com/restref/client/?rid=1322983,https://www.nyctourism.com/restaurant-week/acadia/,https://www.acadianyc.com,full
ai-fiori,Ai Fiori,Manhattan,Midtown West,"The Langham, New York, Fifth Avenue, 400 Fifth Ave., Manhattan, NY, 10018","[""Italian"", ""French"", ""Modern European""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)""]",1,,,https://www.nyctourism.com/restaurant-week/ai-fiori/,https://aifiorinyc.com,
alice,Alice,Manhattan,West Village,"126 W. 13th St., Manhattan, NY, 10011","[""Italian"", ""Seafood""]","[""$45""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/24275-Alice-menu.pdf,,https://www.nyctourism.com/restaurant-week/alice/,https://alicenyc.com,partial
allora-fifth-ave,Allora Fifth Ave,Manhattan,Nomad,"292 Fifth Ave., Manhattan, NY, 10001","[""Italian""]","[""$30"", ""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,https://www.opentable.com/restref/client/?rid=1262110,https://www.nyctourism.com/restaurant-week/allora-fifth-ave/,https://www.alloraristorantenyc.com/allora-5th-ave,
alta-calidad,Alta Calidad,Brooklyn,Prospect Heights,,"[""Mexican""]","[""$30"", ""$45""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/44834-AltaCalidad-menu.pdf,https://www.opentable.com/restref/client/?rid=954982,https://www.nyctourism.com/restaurant-week/alta-calidad/,https://altacalidadbk.com,partial
altesi-downtown,Altesi Downtown,Manhattan,Soho,"200 Spring St., Manhattan, NY, 10012","[""Italian""]","[""$30"", ""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/30900-AltesiDowntown-menu.pdf,https://www.opentable.com/restref/client/?rid=4205,https://www.nyctourism.com/restaurant-week/altesi-downtown/,https://www.altesinyc.com/downtown,partial
altesi-ristorante,Altesi Ristorante,Manhattan,Upper East Side,"26 E. 64th St., Manhattan, NY, 10065","[""Italian""]","[""$45"", ""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/38609-AltesiRistorante-menu.pdf,https://www.opentable.com/restref/client/?rid=145837,https://www.nyctourism.com/restaurant-week/altesi-ristorante/,https://www.altesinyc.com/madison,partial
amaranth,Amaranth,Manhattan,Upper East Side,"21 E. 62nd St., Manhattan, NY, 10065","[""Mediterranean"", ""French"", ""Italian""]","[""$45"", ""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/45693-Amaranth-menu.pdf,https://www.opentable.com/restref/client/?rid=138700,https://www.nyctourism.com/restaurant-week/amaranth/,https://www.amaranthrestaurant.com,full
amasa,Amasa,Manhattan,Midtown West,"Kimpton Era Hotel, 32 W 48th St., ground fl., Manhattan, NY, 10036","[""Steakhouse"", ""Latin American""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)""]",0,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/50900-Amasa-menu.pdf,https://www.opentable.com/restref/client/?rid=1492837,https://www.nyctourism.com/restaurant-week/amasa/,https://www.amasany.com,full
american-cut-steakhouse-tribeca,American Cut Tribeca,Manhattan,Tribeca,"363 Greenwich St., Manhattan, NY, 10013","[""Steakhouse"", ""American (New)""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",0,,,https://www.nyctourism.com/restaurant-week/american-cut-steakhouse-tribeca/,https://www.americancutsteakhouse.com/location/american-cut-tribeca,
ammos-estiatorio-grand-central,Ammos Estiatorio - Grand Central,Manhattan,Midtown East,"52 Vanderbilt Ave., Manhattan, NY, 10017","[""Greek"", ""Seafood"", ""Mediterranean""]","[""$45"", ""$60""]","[""brunch"", ""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/27978-AmmosEstiatorio-GrandCentral-menu.pdf,https://www.opentable.com/restref/client/?rid=5796,https://www.nyctourism.com/restaurant-week/ammos-estiatorio-grand-central/,https://ammosny.com,partial
amelie-upper-west-side,Amélie - Upper West Side,Manhattan,Upper West Side,"566 Amsterdam Ave., Manhattan, NY, 10024","[""French""]","[""$30"", ""$45""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,,https://www.nyctourism.com/restaurant-week/amelie-upper-west-side/,https://www.amelieupperwest.com,
amelie-west-village,Amélie - West Village,Manhattan,Greenwich Village,"22 W. 8th St., Manhattan, NY, 10011","[""French""]","[""$30"", ""$45""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,https://www.opentable.com/restref/client/?rid=82891,https://www.nyctourism.com/restaurant-week/amelie-west-village/,https://www.ameliewinebar.com/home-amelie-west,
anassa-taverna-astoria,Anassa Taverna - Astoria,Queens,Astoria,"28-10 Astoria Blvd., Queens, NY, 11102","[""Greek"", ""Mediterranean""]","[""$30"", ""$45""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",0,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/46066-AnassaTaverna-Astoria-menu.pdf,,https://www.nyctourism.com/restaurant-week/anassa-taverna-astoria/,https://astoria.anassataverna.com,full
anassa-taverna-downtown,Anassa Taverna - Downtown,Manhattan,Battery Park City,"104 North End Ave., Manhattan, NY, 10282","[""Greek"", ""Mediterranean""]","[""$30"", ""$45""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",0,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/46067-AnassaTaverna-Downtown-menu.pdf,,https://www.nyctourism.com/restaurant-week/anassa-taverna-downtown/,https://anassataverna.com,full
anassa-taverna,Anassa Taverna - Manhattan,Manhattan,Upper East Side,"200 E. 60th St., Manhattan, NY, 10022","[""Greek"", ""Mediterranean""]","[""$30"", ""$45""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",0,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/38306-AnassaTaverna-Manhattan-menu.pdf,,https://www.nyctourism.com/restaurant-week/anassa-taverna/,https://anassataverna.com,full
animo,Animo!,Manhattan,Midtown East,"1004 Second Ave., Manhattan, NY, 10022","[""Mexican""]","[""$30"", ""$45""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/49757-Animo-menu.pdf,https://www.opentable.com/restref/client/?rid=1421236,https://www.nyctourism.com/restaurant-week/animo/,https://animonyc.com,full
antica-pesa,Antica Pesa,Brooklyn,Williamsburg,"115 Berry St., Brooklyn, NY, 11249","[""Italian""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/37936-AnticaPesa-menu.pdf,,https://www.nyctourism.com/restaurant-week/antica-pesa/,https://www.anticapesa.com/antica-pesa-newyork,partial
aqua-boil,Aqua Boil,Manhattan,Hells Kitchen,"750 Ninth Ave., Manhattan, NY, 10019","[""Seafood""]","[""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/41672-AquaBoil-menu.pdf,https://www.opentable.com/restref/client/?rid=1401595,https://www.nyctourism.com/restaurant-week/aqua-boil/,https://www.aquaboilnyc.com,failed
aqua-new-york,Aqua Kyoto,Manhattan,Flatiron District,"902 Broadway, Manhattan, NY, 10010","[""Japanese / Sushi"", ""Eclectic"", ""Italian""]","[""$30"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/49385-AquaKyoto-menu.pdf,,https://www.nyctourism.com/restaurant-week/aqua-new-york/,https://aqua-nyc.com,full
aqua-roma,Aqua Roma,Manhattan,Flatiron District,"902 Broadway, Manhattan, NY, 10010","[""Italian"", ""Eclectic"", ""Japanese / Sushi""]","[""$30"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/50294-AquaRoma-menu.pdf,https://www.opentable.com/restref/client/?rid=1410643,https://www.nyctourism.com/restaurant-week/aqua-roma/,https://aqua-nyc.com,partial
archer-goat,Archer & Goat,Manhattan,Harlem,"187 Lenox Ave., Manhattan, NY, 10026","[""American (New)""]","[""$45""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,,https://www.nyctourism.com/restaurant-week/archer-goat/,https://www.archerandgoat.com,
aromi,Aromi,Brooklyn,Carroll Gardens,"552 Court St., Brooklyn, NY, 11231","[""Italian"", ""Pizza""]","[""$45""]","[""brunch"", ""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,,https://www.nyctourism.com/restaurant-week/aromi/,https://www.arominyc.com,
arte-cafe,Arte Cafe,Manhattan,Upper West Side,"106 W. 73rd St., Manhattan, NY, 10023","[""Italian""]","[""$30"", ""$45""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/39114-ArteCafe-menu.pdf,https://www.opentable.com/restref/client/?rid=3601,https://www.nyctourism.com/restaurant-week/arte-cafe/,https://www.artecafenyc.com,full
arthur-and-sons-murray-hill,Arthur & Sons - Murray Hill,Manhattan,Murray Hill,"145 E. 39th. St., Manhattan, NY, 10016","[""Italian""]","[""$45""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,,https://www.nyctourism.com/restaurant-week/arthur-and-sons-murray-hill/,https://arthurandsonsnyc.com/pages/murray-hill,
arvine,Arvine,Manhattan,West Village,"19 Greenwich Ave., Manhattan, NY, 10014","[""American (New)""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)""]",0,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/51128-Arvine-menu.pdf,https://www.opentable.com/restref/client/?rid=1469344,https://www.nyctourism.com/restaurant-week/arvine/,https://www.arvine.com,partial
askili-orchard,Askili Orchard,Manhattan,West Village,"401 Sixth Ave., Manhattan, NY, 10014","[""Georgian"", ""Eastern European""]","[""$30"", ""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/51331-AskiliOrchard-menu.pdf,https://www.opentable.com/restref/client/?rid=1470478,https://www.nyctourism.com/restaurant-week/askili-orchard/,https://askiliorchard.com,full
atlantis-prime,Atlantis Prime,Manhattan,Herald Square,"38 W. 36th St., Manhattan, NY, 10018","[""Steakhouse"", ""Seafood""]","[""$30"", ""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/49734-AtlantisPrime-menu.pdf,,https://www.nyctourism.com/restaurant-week/atlantis-prime/,https://www.atlantisprimerestaurant.com,full
atoboy,Atoboy,Manhattan,Nomad,"43 E. 28th St., Manhattan, NY, 10016","[""Korean""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/40407-Atoboy-menu.pdf,,https://www.nyctourism.com/restaurant-week/atoboy/,https://www.atoboynyc.com,partial
atrio-bar-restaurant,Atrio Wine Bar & Restaurant,Manhattan,Battery Park City,"Conrad New York Downtown, 102 North End Ave., Manhattan, NY, 10282","[""American (New)""]","[""$45"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/37199-AtrioWineBar%26Restaurant-menu.pdf,https://www.opentable.com/restref/client/?rid=78982,https://www.nyctourism.com/restaurant-week/atrio-bar-restaurant/,https://www.hilton.com/en/hotels/nyccici-conrad-new-york-downtown/dining/atrio-wine-bar-restaurant,full
audace,Audace,Manhattan,Nomad,"365 Park Ave. South, Manhattan, NY, 10016","[""Italian""]","[""$30"", ""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/50455-Audace-menu.pdf,https://www.opentable.com/restref/client/?rid=1394212,https://www.nyctourism.com/restaurant-week/audace/,https://audacenyc.com,full
ayza-wine-and-chocolate-bar,Ayza,Manhattan,Koreatown,"11 W. 31st St., Manhattan, NY, 10001","[""American (New)""]","[""$45""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/49515-AyzaWine%26ChocolateBar-menu.pdf,,https://www.nyctourism.com/restaurant-week/ayza-wine-and-chocolate-bar/,https://ayzanyc.com,full
bkk-new-york,BKK New York,Manhattan,Midtown West,"238 W. 56th St., Manhattan, NY, 10019","[""Thai""]","[""$30"", ""$45""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/49686-BKKNewYork-menu.pdf,https://www.opentable.com/restref/client/?rid=1415416,https://www.nyctourism.com/restaurant-week/bkk-new-york/,https://www.bkknewyork.com,partial
blt-prime,BLT Prime,Manhattan,Upper East Side,"1032 Lexington Ave., Manhattan, NY, 10021","[""Steakhouse""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/27561-BLTPrime-menu.pdf,https://www.opentable.com/restref/client/?rid=1039201,https://www.nyctourism.com/restaurant-week/blt-prime/,https://www.bltrestaurants.com/location/blt-prime-new-york,partial
bota-supper-club,BOTA Supper Club,Staten Island,St. George,"402 St. Marks Pl., Staten Island, NY, 10301","[""American (New)""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,https://www.opentable.com/restref/client/?rid=1388074,https://www.nyctourism.com/restaurant-week/bota-supper-club/,https://botasupperclub.com,
baci-and-abbracci,Baci & Abbracci,Brooklyn,Williamsburg,"204 Grand St., Brooklyn, NY, 11211","[""Italian""]","[""$30""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/49208-Baci%26Abbracci-menu.pdf,https://www.opentable.com/restref/client/?rid=20914,https://www.nyctourism.com/restaurant-week/baci-and-abbracci/,https://www.baciny.com,full
baciccia-pizza-e-cucina,Baciccia Pizza e Cucina,Brooklyn,Park Slope,"426A 7th Ave., Brooklyn, NY, 11215","[""Italian"", ""Pizza""]","[""$45""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/49764-BacicciaPizzaeCucina-menu.pdf,,https://www.nyctourism.com/restaurant-week/baciccia-pizza-e-cucina/,https://bacicciabrooklyn.com,failed
bad-roman,Bad Roman,Manhattan,Upper West Side,"10 Columbus Circle, 3rd fl., Manhattan, NY, 10019","[""Italian""]","[""$60""]","[""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",0,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/47989-BadRoman-menu.pdf,https://www.opentable.com/restref/client/?rid=1268701,https://www.nyctourism.com/restaurant-week/bad-roman/,https://www.badromannyc.com,full
baires-grill-new-york,Baires Grill New York,Manhattan,Hells Kitchen,"350 W. 50th St., Manhattan, NY, 10019","[""Argentinian"", ""Steakhouse"", ""Latin American""]","[""$30"", ""$60""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/49863-BairesGrillNewYork-menu.pdf,https://www.opentable.com/restref/client/?rid=1282117,https://www.nyctourism.com/restaurant-week/baires-grill-new-york/,https://www.bairesgrill.com/new-york,full
balade,Balade,Manhattan,East Village,"208 First Ave., Manhattan, NY, 10009","[""Middle Eastern"", ""Mediterranean""]","[""$45""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/48315-Balade-menu.pdf,https://www.opentable.com/restref/client/?rid=41515,https://www.nyctourism.com/restaurant-week/balade/,https://www.baladerestaurants.com,partial
bananas,Bananas,Manhattan,East Village,"174 First Ave., Manhattan, NY, 10009","[""American (New)""]","[""$45""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/49803-Bananas-menu.pdf,https://www.opentable.com/restref/client/?rid=1377592,https://www.nyctourism.com/restaurant-week/bananas/,https://www.bananasrestaurant.com,full
bar-bianchi,Bar Bianchi,Manhattan,East Village,"5 Avenue A, Manhattan, NY, 10009","[""Italian""]","[""$30"", ""$45""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/50495-BarBianchi-menu.pdf,,https://www.nyctourism.com/restaurant-week/bar-bianchi/,https://www.barbianchinyc.com,full
