slug,name,borough,neighborhood,address,cuisines,price_tiers,meal_periods,weeks,sunday_participation,menu_url,reservation_link,listing_url,website,menu_parse_quality
sei-less,Sei Less,Manhattan,Garment District,"156 W. 38th St., Manhattan, NY, 10018","[""Chinese"", ""Asian Fusion""]","[""$30"", ""$45""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,https://www.opentable.com/restref/client/?rid=1224220,https://www.nyctourism.com/restaurant-week/sei-less/,https://www.seiless.com,
sempre-oggi,Sempre Oggi,Manhattan,Upper West Side,"164 W. 75th St., Manhattan, NY, 10023","[""Italian""]","[""$45""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/48987-SempreOggi-menu.pdf,https://www.opentable.com/restref/client/?rid=1328710,https://www.nyctourism.com/restaurant-week/sempre-oggi/,https://www.semprenyc.com,full
sereneco,Sereneco,Brooklyn,Greenpoint,"113 Franklin St., Brooklyn, NY, 11222","[""American (New)""]","[""$45""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/45838-Sereneco-menu.pdf,https://www.opentable.com/restref/client/?rid=1208164,https://www.nyctourism.com/restaurant-week/sereneco/,https://www.sereneconyc.com,partial
shan,Shan,Brooklyn,Boerum Hill,"191 Smith St., Brooklyn, NY, 11201","[""Chinese""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/48338-Shan-menu.pdf,,https://www.nyctourism.com/restaurant-week/shan/,https://shannyc.com,partial
shogun-omakase,Shogun Omakase,Manhattan,Murray Hill,"295 Madison Ave., Manhattan, NY, 10017","[""Japanese / Sushi""]","[""$60""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/50499-ShogunOmakase-menu.pdf,,https://www.nyctourism.com/restaurant-week/shogun-omakase/,https://www.shogunomakase.com,partial
sicily-osteria,Sicily Osteria,Manhattan,Times Square/Theatre District,"330 W. 46th St., Manhattan, NY, 10036","[""Italian""]","[""$30"", ""$45""]","[""brunch"", ""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/46336-SicilyOsteria-menu.pdf,https://www.opentable.com/restref/client/?rid=1214629,https://www.nyctourism.com/restaurant-week/sicily-osteria/,https://www.sicilynyc.com,full
siren-oyster-bar-and-restaurant,Siren Oyster Bar & Restaurant,Brooklyn,South Slope,"687 Fifth Ave., Brooklyn, NY, 11215","[""Seafood""]","[""$60""]","[""dinner""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,https://www.opentable.com/restref/client/?rid=1329493,https://www.nyctourism.com/restaurant-week/siren-oyster-bar-and-restaurant/,https://www.sirenbk.com,
sistina,Sistina,Manhattan,Upper East Side,"24 E. 81st St., Manhattan, NY, 10028","[""Italian""]","[""$45""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",0,,https://www.opentable.com/restref/client/?rid=96577,https://www.nyctourism.com/restaurant-week/sistina/,https://www.sistinany.com,
skinnys-cantina,Skinny's Cantina,Queens,Long Island City,"4705 Center Blvd., Queens, NY, 11109","[""Mexican""]","[""$30"", ""$45""]","[""dinner"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,https://nyc-tourism-public.s3.amazonaws.com/srw26/menus/46462-Skinny%27sCantina-menu.pdf,,https://www.nyctourism.com/restaurant-week/skinnys-cantina/,https://www.skinnyscantina.com,full
skinos,Skinos,Manhattan,Lower Manhattan,"123 Washington St., Manhattan, NY, 10006","[""Mediterranean"", ""Greek""]","[""$30"", ""$45""]","[""brunch"", ""lunch""]","[""Week 4 (Aug 10 - Aug 16)"", ""Week 5 (Aug 17 - Aug 23)"", ""Week 6 (Aug 24 - Aug 31)"", ""Week 7 (Sept 1 - Sept 6)""]",1,,https://www.opentable.com/restref/client/?rid=1248067,https://www.nyctourism.com/restaurant-week/skinos/,https://skinos123.com,
